country,"Country ID"
SC19Q21,"Ptime Maths teach  Q19a2"
SC19Q12,"Ftime teach ISCED5A Maths Q19b1"
SC19Q22,"Ptime teach ISCED5A Maths Q19b2"
SC19Q13,"Ftime Maths teach ISCED5A no major Q19c1"
SC19Q23,"Ptime Maths teach ISCED5A no major Q19c2"
SC19Q14,"Ftime Maths teach ISCED5A pedag Q19d1"
SC19Q24,"Ptime Maths teach ISCED5A pedag Q19d2"
SC19Q15,"Ftime Maths teach ISCED5B Q19e1"
SC19Q25,"Ptime Maths teach ISCED5B Q19e2"
SC20Q01,"By students' achievement  Q20a"
SC20Q02,"By teacher review  Q20b"
SC20Q03,"By principal Q20c"
SC20Q04,"By inspectors  Q20d"
SC21Q01,"Innovative teachers Q21a"
SC21Q02,"Traditional teachers  Q21b"
SC21Q03,"Innovation disagreements Q21c"
SC22Q01,"Require high achievement Q22a"
SC22Q02,"Adapt standards  Q22b"
SC22Q03,"Frequent disagreements  Q22c"
SC23Q01,"Goals social  development  Q23a"
SC23Q02,"Goals Maths skills  Q23b"
SC23Q03,"Goals disagreements  Q23c"
SC24Q01,"High morale Q24a"
SC24Q02,"Enthusiasm Q24b"
SC24Q03,"Pride in school Q24c"
SC24Q04,"Academic Achievement Q24d"
SC25Q01,"Low expectations Q25a"
SC25Q02,"Student absenteeism Q25b"
SC25Q03,"Stud-teacher relations Q25c"
SC25Q04,"Disruption of Classes Q25d"
SC25Q05,"Not meeting needs Q25e"
SC25Q06,"Teacher absenteeism Q25f"
SC25Q07,"Skipping classes Q25g"
SC25Q08,"Lack of respect Q25h"
SC25Q09,"Resisting change Q25i"
SC25Q10,"Use of alcohol Q25j"
SC25Q11,"Teacher strictness Q25k"
SC25Q12,"Bullying Q25l"
SC25Q13,"Lack encouragement Q25m"
SC26Q01,"Hiring teachers Q26a"
SC26Q02,"Firing teachers Q26b"
SC26Q03,"Teacher salaries Q26c"
SC26Q04,"Salary increase Q26d"
SC26Q05,"Budget formulation Q26e"
SC26Q06,"Budget allocation Q26f"
SC26Q07,"Disciplinary policies Q26g"
SC26Q08,"Assessment policies Q26h"
SC26Q09,"Student admittance Q26i"
SC26Q10,"Textbooks Q26j"
SC26Q11,"Course content Q26k"
SC26Q12,"Course offer Q26l"
SC27Q01,"Decision making national  Q27a"
SC27Q02,"Decision making local  Q27b"
SC27Q03,"Decision making employers Q27c"
SC27Q04,"Decision making parents Q27d"
SC27Q05,"Decision making teachers Q27e"
SC27Q06,"Decision making students  Q27f"
SC27Q07,"Decision making external Q27g"
SCHLSIZE,"School size"
PCGIRLS,"Proportion of girls"
RATCOMP,"Computer ratio to school size"
STRATIO,"Teacher/student ratio"
SCHLTYPE,"School Ownership"
COMPWEB,"Proportion of computers connected to WEB"
COMPLAN,"Proportion of computers connected to LAN"
PROPCERT,"Proportion of certified teachers"
PROPQPED,"Proportion of teachers with ISCED 5A in Pedagogy"
SMRATIO,"Maths teacher-student ratio"
PROPMATH,"Proportion of Maths teachers"
PROPMA5A,"Proportion of math teachers with a ISCED 5A level in math"
ASSESS,"Estimated Number of assessments per year"
SELECT,"School selectivity"
abgroup,"Streaming within schools"
EXCOURSE,"School offering extension courses (number of types)"
MACTIV,"School offering Maths activities (number of types)"
AUTRES,"Resource autonomy"
AUTCURR,"Curricular autonomy"
MSTREL,"Index of poor student-teacher relations (school average)"
TCSHORT,"Shortage of teachers (WLE)"
SCMATBUI,"Quality of material resources (WLE)"
SCMATEDU,"Quality of educational resources (WLE)"
STMORALE,"Student morale (WLE)"
TCMORALE,"Teacher morale (WLE)"
STUDBEHA,"Student behaviours (WLE)"
TEACBEHA,"Teacher behaviours (WLE)"
TCHCONS,"Mathematics teacher consensus (WLE)"
SCHAUTON,"School autonomy (WLE)"
TCHPARTI,"Teacher participation (WLE)"
Scweight,"School Weight"
STRATUM,"Stratum"
