  country,"Country three-digit ISO code"
R055Q02,"Drugged Spiders Q2"
R055Q03,"Dugged Spiders Q3"
R055Q05,"Drugged Spiders Q5"
R067Q01,"Aesop Q1"
R067Q04,"Aesop Q4"
R067Q05,"Aesop Q5"
R102Q04A,"Shirt Q4A"
R102Q05,"Shirt Q5"
R102Q07,"Shirt Q7"
R104Q01,"Telephone Q1"
R104Q02,"Telephone Q2"
R104Q05,"Telephone Q5"
R111Q01,"Exchange Q1"
R111Q02B,"Exchange Q2B"
R111Q06B,"Exchange Q6B"
R219Q01T,"Employment Q1"
R219Q01E,"Employment Q1E"
R219Q02,"Employment Q2"
R220Q01,"South Pole- Q1"
R220Q02B,"South Pole Q2B"
R220Q04,"South Pole Q4"
R220Q05,"South Pole Q5"
R220Q06,"South Pole Q6"
R227Q01,"Optician Q1"
R227Q02T,"Optician Q2"
R227Q03,"Optician Q3"
R227Q06,"Optician Q6"
S114Q03T,"Greenhouse Q3"
S114Q04T,"Greenhouse Q4"
S114Q05T,"Greenhouse Q5"
S128Q01,"Cloning Q1"
S128Q02,"Cloning Q2"
S128Q03T,"Cloning Q3"
S129Q01,"Daylight Q1"
S129Q02T,"Daylight Q2"
S131Q02T,"Good Vibrations Q2"
S131Q04T,"Good Vibrations Q4"
S133Q01,"Research Q1"
S133Q03,"Research Q3"
S133Q04T,"Research Q4"
S213Q01T,"Clothes Q1"
S213Q02,"Clothes Q2"
S252Q01,"South Rainea Q1"
S252Q02,"South Rainea Q2"
S252Q03T,"South Rainea Q3"
S256Q01,"Spoons Q1"
S268Q01,"Algae Q1"
S268Q02T,"Algae Q2"
S268Q06,"Algae Q6"
S269Q01,"Earth Q1"
S269Q03T,"Earth Q3"
S269Q04T,"Earth Q4"
S304Q01,"WATER Q1"
S304Q02,"WATER Q2"
S304Q03a,"WATER Q3a"
S304Q03b,"WATER Q3b"
S326Q01,"MILK Q1"
S326Q02,"MILK Q2"
S326Q03,"MILK Q3"
S326Q04T,"MILK Q4"
S327Q01T,"Tidal Energy Q1"
X402Q01T,"Library System Q1"
X402Q02T,"Library System Q2"
X412Q01,"Design by Numbers Q1"
X412Q02,"Design by Numbers Q2"
X412Q03,"Design by Numbers Q3"
X414Q01,"Course Design Q1"
X415Q01T,"Transit System Q1"
X417Q01,"Children's Camp Q1"
X423Q01T,"Freezer Q1"
X423Q02T,"Freezer Q2"
X430Q01,"Energy Needs Q1"
X430Q02,"Energy Needs Q2"
X601Q01T,"Cinema Outing Q1"
X601Q02,"Cinema Outing Q2"
X602Q01,"Holiday Q1"
X602Q02,"Holiday Q2"
X603Q01,"Irrigation Q1"
X603Q02T,"Irrigation Q2"
X603Q03,"Irrigation Q3"
CLCUSE1,"Calculator Use"   
CLCUSE3a,"Effort-real: a"  
CLCUSE3b,"Effort-real: b"  

  MSCALE," Maths Scalable"
  RSCALE," Reading Scalable"
  SSCALE," Science Scalable"  
  PSCALE," Problem Solving Scalable"   
  CNT,"Country Alphanumeric ISO Code"
