   CNT,"Country code 3-character"
   SC24Qa1   ="Responsibility teacher hire - Principal Q24a1"
   SC24Qa2   ="Responsibility teacher hire - Teachers Q24a2"
   SC24Qa3   ="Responsibility teacher hire - School governing board Q24a3"
   SC24Qa4   ="Responsibility teacher hire - Regional or local educational authority Q24a4"
   SC24Qa5   ="Responsibility teacher hire - National education authority Q24a5"
   SC24Qb1   ="Responsibility firing teachers - Principal Q24b1"
   SC24Qb2   ="Responsibility firing teachers - Teachers Q24b2"
   SC24Qb3   ="Responsibility firing teachers - School governing board Q24b3"
   SC24Qb4   ="Responsibility firing teachers - Regional or local educational authority Q24b4"
   SC24Qb5   ="Responsibility firing teachers - National education authority Q24b5"
   SC24Qc1   ="Responsibility starting salaries - Principal Q24c1"
   SC24Qc2   ="Responsibility starting salaries - Teachers Q24c2"
   SC24Qc3   ="Responsibility starting salaries - School governing board Q24c3"
   SC24Qc4   ="Responsibility starting salaries - Regional or local educational authority Q24c4"
   SC24Qc5   ="Responsibility starting salaries - National education authority Q24c5"
   SC24Qd1   ="Responsibility salary increases - Principal  Q24d1"
   SC24Qd2   ="Responsibility salary increases - Teachers Q24d2"
   SC24Qd3   ="Responsibility salary increases -  School governing board Q24d3"
   SC24Qd4   ="Responsibility salary increases -  Regional or local educational authority Q24d4"
   SC24Qd5   ="Responsibility salary increases -  National education authority Q24d5"
   SC24Qe1   ="Responsibility formulate budget -  Principal  Q24e1"
   SC24Qe2   ="Responsibility formulate budget -  Teachers Q24e2"
   SC24Qe3   ="Responsibility formulate budget -  School governing board Q24e3"
   SC24Qe4   ="Responsibility formulate budget -  Regional or local educational authority Q24e4"
   SC24Qe5   ="Responsibility formulate budget -  National education authority Q24e5"
   SC24Qf1   ="Responsibility budget allocations  - Principal  Q24f1"
   SC24Qf2   ="Responsibility budget allocations  - Teachers Q24f2"
   SC24Qf3   ="Responsibility budget allocations  - School governing board Q24f3"
   SC24Qf4   ="Responsibility budget allocations  - Regional or local educational authority Q24f4"
   SC24Qf5   ="Responsibility budget allocations  - National education authority Q24f5"
   SC24Qg1   ="Responsibility student discipline - Principal Q24g1"
   SC24Qg2   ="Responsibility student discipline - Teachers Q24g2"
   SC24Qg3   ="Responsibility student discipline - School governing board Q24g3"
   SC24Qg4   ="Responsibility student discipline - Regional or local educational authority Q24g4"
   SC24Qg5   ="Responsibility student discipline - National education authority Q24g5"
   SC24Qh1   ="Responsibility student assessment - Principal Q24h1"
   SC24Qh2   ="Responsibility student assessment - Teachers Q24h2"
   SC24Qh3   ="Responsibility student assessment - School governing board Q24h3"
   SC24Qh4   ="Responsibility student assessment - Regional or local educational authority Q24h4"
   SC24Qh5   ="Responsibility student assessment - National education authority Q24h5"
   SC24Qi1   ="Responsibility student admission - Principal Q24i1"
   SC24Qi2   ="Responsibility student admission - Teachers Q24i2"
   SC24Qi3   ="Responsibility student admission - School governing board Q24i3"
   SC24Qi4   ="Responsibility student admission - Regional or local educational authority Q24i4"
   SC24Qi5   ="Responsibility student admission - National education authority Q24i5"
   SC24Qj1   ="Responsibility textbook use - Principal Q24j1"
   SC24Qj2   ="Responsibility textbook use - Teachers Q24j2"
   SC24Qj3   ="Responsibility textbook use - School governing board Q24j3"
   SC24Qj4   ="Responsibility textbook use - Regional or local educational authority Q24j4"
   SC24Qj5   ="Responsibility textbook use - National education authority Q24j5"
   SC24Qk1   ="Responsibility course content - Principal Q24k1"
   SC24Qk2   ="Responsibility course content - Teachers Q24k2"
   SC24Qk3   ="Responsibility course content - School governing board Q24k3"
   SC24Qk4   ="Responsibility course content - Regional or local educational authority Q24k4"
   SC24Qk5   ="Responsibility course content - National education authority Q24k5"
   SC24Ql1   ="Responsibility courses offered - Principal Q24l1"
   SC24Ql2   ="Responsibility courses offered - Teachers Q24l2"
   SC24Ql3   ="Responsibility courses offered - School governing board Q24l3"
   SC24Ql4   ="Responsibility courses offered - Regional or local educational authority Q24l4"
   SC24Ql5   ="Responsibility courses offered - National education authority Q24l5"
   SC25Qa1   ="Regional or national authority - Influence staffing Q25a1"
   SC25Qa2   ="Regional or national authority - Influence budget Q25a2"
   SC25Qa3   ="Regional or national authority - Influence instructional content Q25a3"
   SC25Qa4   ="Regional or national authority - Influence assessment Q25a4"
   SC25Qb1   ="School governing board - Influence staffing Q25b1"
   SC25Qb2   ="School governing board - Influence budget Q25b2"
   SC25Qb3   ="School governing board - Influence instructional content Q25b3"
   SC25Qb4   ="School governing board - Influence assessment Q25b4"
   SC25Qc1   ="Parent groups - Influence staffing Q25c1"
   SC25Qc2   ="Parent groups - Influence budget Q25c2"
   SC25Qc3   ="Parent groups - Influence instructional content Q25c3"
   SC25Qc4   ="Parent groups - Influence assessment Q25c4"
   SC25Qd1   ="Teacher groups - Influence staffing Q25d1"
   SC25Qd2   ="Teacher groups - Influence budget Q25d2"
   SC25Qd3   ="Teacher groups - Influence instructional content Q25d3"
   SC25Qd4   ="Teacher groups - Influence assessment Q25d4"
   SC25Qe1   ="Student groups - Influence staffing Q25e1"
   SC25Qe2   ="Student groups - Influence budget Q25e2"
   SC25Qe3   ="Student groups - Influence instructional content Q25e3"
   SC25Qe4   ="Student groups - Influence assessment Q25e4"
   SC25Qf1   ="Examination board - Influence staffing Q25f1"
   SC25Qf2   ="Examination board - Influence budget Q25f2"
   SC25Qf3   ="Examination board - Influence instructional content Q25f3"
   SC25Qf4   ="Examination board - Influence assessment Q25f4"
   SC26Q01,"Professional development"
   SC26Q02,"Educational goals - Teachers"
   SC26Q03,"Observe in classrooms"
   SC26Q04,"Student performance"
   SC26Q05,"Give suggestions"
   SC26Q06,"Monitor student's work"
   SC26Q07,"Teacher's problems"
   SC26Q08,"Teachers Updating skills"
   SC26Q09,"Educational Goals - Classroom"
   SC26Q10,"Exam results into account"
   SC26Q11,"Curriculum Responsibility"
   SC26Q12,"Classroom problems"
   SC26Q13,"Disruptive behaviour"
   SC26Q14,"Take over lessons"
   SC27Q01,"Gender"
   SCHSIZE,"Total school enrolment"
   STRATIO,"Teacher-Student ratio"
   PROPCERT,"Proportion of certified teachers"
   PROPQUAL,"Proportion of qualified teachers"
   IRATCOMP,"Ratio of computers and school size"
   COMPWEB,"Proportion of computers connected to the Internet"
   PCGIRLS,"Proportion of girls in the school"
   SCHTYPE,"School Type"
   TCHPARTI,"Teacher participation"
   LDRSHP,"School leadership"
   TCSHORT,"Teacher shortage"
   SCMATEDU,"Quality of the schools educational resources"
   EXCURACT,"Extra-curricular activities offered by school"
   TEACBEHA,"Teacher behaviour"
   STUDBEHA,"Student behaviour"
   RESPRES,"School responsibility: resource allocation"
   RESPCURR,"School responsibility: curriculum and assessment"
   SELSCH,"Index of academic school selectivity"
   ABGROUP,"Ability grouping between classes"
   W_FSCHWT,"Final school weight"
   STRATUM,"Original stratum"
   VER_SCH,"Version of school database and date of release"
