NC,"National Centre 6-digit Code"
PA13Q02,"With Child  - Eat main meal"
PA13Q03,"With Child  - Time talking"
PA13Q04,"With Child  - Homework help"
PA13Q05,"With Child  - Performance math"
PA13Q06,"With Child  - Math materials"
PA13Q07,"With Child  - Applying math"
PA14Q01,"Math Skills Importance - Get good jobs"
PA14Q02,"Math Skills Importance - Employer appreciation"
PA14Q03,"Math Skills Importance - Job requirement"
PA14Q04,"Math Skills Importance - Advantage in job market"
PA15Q01,"Math Career - In family"
PA15Q02,"Math Career - Child interest"
PA15Q03,"Math Career - Child expectation"
PA15Q04,"Math Career - Child study interest"
PA15Q05,"Math Career - Child study expectation"
PA18Q01,"Repeat Grade - At < ISCED 1>"
PA18Q02,"Repeat Grade - At < ISCED 2>"
PA18Q03,"Repeat Grade - At < ISCED 3>"
PA19Q01,"Expected completed levels - <ISCED level 2>  "
PA19Q02,"Expected completed levels - <ISCED level 3B or C>  "
PA19Q03,"Expected completed levels - <ISCED level 3A>  "
PA19Q04,"Expected completed levels - <ISCED level 4>  "
PA19Q05,"Expected completed levels - <ISCED level 5B>  "
PA19Q06,"Expected completed levels - <ISCED level 5A or 6>  "
PA21Q01,"Family Country of Birth - Mother"
PA21Q02,"Family Country of Birth - Father"
PA21Q03,"Family Country of Birth - Maternal Grandmother"
PA21Q04,"Family Country of Birth - Maternal Grandfather"
PA21Q05,"Family Country of Birth - Paternal Grandmother"
PA21Q06,"Family Country of Birth - Paternal Grandfather"
PA22Q01,"Father Age Arrival Test Country"
PA23Q01,"Mother Age Arrival Test Country"
PA24N0101,"Country of Citizenship - Mother"
PA24N0102,"Country of Citizenship - Mother"
PA24N0103,"Country of Citizenship - Mother"
PA24N0104,"Country of Citizenship - Mother"
PA24N0105,"Country of Citizenship - Mother"
PA24N0106,"Country of Citizenship - Mother"
PA24N0107,"Country of Citizenship - Mother"
PA24N0108,"Country of Citizenship - Mother"
PA24N0109,"Country of Citizenship - Mother"
PA24N0110,"Country of Citizenship - Mother"
PA24N0111,"Country of Citizenship - Mother"
PA24N0112,"Country of Citizenship - Mother"
PA24N0113,"Country of Citizenship - Mother"
PA24N0201,"Country of Citizenship - Father"
PA24N0202,"Country of Citizenship - Father"
PA24N0203,"Country of Citizenship - Father"
PA24N0204,"Country of Citizenship - Father"
PA24N0205,"Country of Citizenship - Father"
PA24N0206,"Country of Citizenship - Father"
PA24N0207,"Country of Citizenship - Father"
PA24N0208,"Country of Citizenship - Father"
PA24N0209,"Country of Citizenship - Father"
PA24N0210,"Country of Citizenship - Father"
PA24N0211,"Country of Citizenship - Father"
PA24N0212,"Country of Citizenship - Father"
PA24N0213,"Country of Citizenship - Father"
PA25Q01,"Language Spoken at Home - Mother"
PA25Q02,"Language Spoken at Home - Father"
OCOD3,"Parental report on mother's ISCO08 classification"
OCOD4,"Parental report on father's ISCO08 classification"
OCOD5,"Parental report on career expectations for their children expressed in ISCO08"
PARINVOL,"Parental involvement in their child's school"
PARSUPP,"Student support"
PQMIMP,"Parent attitudes toward mathematics"
PQBFMJ,"Father ISEI from Parent Questionnaire" 
PQBMMJ,"Mother ISEI from Parent Questionnaire" 
PQCITIZF,"Parental citizenship - Father"
PQCITIZM,"Parental citizenship - Mother" 
PQCOB_F,"Country of Birth - Father" 
PQCOB_M,"Country of Birth - Mother"
PQCOB_MGM,"Country of Birth - Maternal Grand-Mother" 
PQCOB_MGF,"Country of Birth - Maternal Grand-Father"
PQCOB_PGM,"Country of Birth - Paternal Grand-Mother" 
PQCOB_PGF,"Country of Birth - Paternal Grand-Father" 
PQEDASP,"Expected completed levels of education"
PQLANGNF,"Language at home (3-digit code) - Father"
PQLANGNM,"Language at home (3-digit code) - Mother"
PQMISCED,"PQ Educational level of mother (ISCED)"
PQFISCED,"PQ Educational level of father (ISCED)" 
PQHISCED,"PQ Highest educational level of parents (ISCED)"  
PQHISEI,"PQ Highest Parental Occupation Status (ISEI)"
PQIMMIGF,"Parental place of birth - Father" 
PQIMMIGM,"Parental place of birth - Mother"  
PQMCAR,"Mathematics Career"
PQOCCASP,"Expected ISEI of student from Parent Questionnaire" 
PQSCHOOL,"Parents perception of school quality" 
senwgt_PaQ,"Senate weight - sum of weight within the country is 1000"
VER_PAQ,"Date of the database creation"
