factor,levels
ST34Q04,ST34
ST34Q05,ST34
ST34Q06,ST34
ST34Q07,ST34
ST34Q08,ST34
ST34Q09,ST34
ST34Q10,ST34
ST34Q11,ST34
ST34Q12,ST34
ST34Q13,ST34
ST34Q14,ST34
ST34Q15,ST34
ST34Q16,ST34
ST34Q17,ST34
ST35Q01,ST35
ST35Q02,ST35
ST35Q03,ST35
ST35Q04,ST35
ST35Q05,ST35
ST36Q01,ST36
ST36Q02,ST36
ST36Q03,ST36
ST37Q01,ST37
ST37Q02,ST37
ST37Q03,ST37
ST37Q04,ST37
ST37Q05,ST37
ST37Q06,ST37
IC01Q01,IC01Q01
IC02Q01,IC02Q01
IC03Q01,IC03
IC03Q02,IC03
IC03Q03,IC03
IC04Q01,IC04
IC04Q02,IC04
IC04Q03,IC04
IC04Q04,IC04
IC04Q05,IC04
IC04Q06,IC04
IC04Q07,IC04
IC04Q08,IC04
IC04Q09,IC04
IC04Q10,IC04
IC04Q11,IC04
IC05Q01,IC05
IC05Q02,IC05
IC05Q03,IC05
IC05Q04,IC05
IC05Q05,IC05
IC05Q06,IC05
IC05Q07,IC05
IC05Q08,IC05
IC05Q09,IC05
IC05Q10,IC05
IC05Q11,IC05
IC05Q12,IC05
IC05Q13,IC05
IC05Q14,IC05
IC05Q15,IC05
IC05Q16,IC05
ESCS,CARINFO
AGE,AGE
BMMJ,BMMJ
BFMJ,BMMJ
BSMJ,BMMJ
CLCUSE3A,CLCUSE3AB
CLCUSE3B,CLCUSE3AB
DEFFORT,DEFFORT
COBN_F,COBN_M
COBN_M,COBN_M
COBN_S,COBN_M
PROGN,PROGN
FISCED,MFHISCED
HISCED,MFHISCED
HISEI,BMMJ
MsECATEG,MSECATEG
FsECATEG,MSECATEG
HsECATEG,MSECATEG
IMMIG,IMMIG
ISCEDD,ISCEDD
ISCEDL,ISCEDL
ISCEDO,ISCEDO
LANGN,LANGN
MISCED,MFHISCED
PARED,PARED
SRC_M,SRC_MFES
SRC_F,SRC_MFES
SRC_E,SRC_MFES
SRC_S,SRC_MFES
TESTLANG,TESTLANG
CARINFO,CARINFO
CARPREP,CARINFO
CULTPOSS,CARINFO
ENVAWARE,CARINFO
ENVOPT,CARINFO
ENVPERC,CARINFO
GENSCIE,CARINFO
HEDRES,CARINFO
HIGHCONF,CARINFO
HOMEPOS,CARINFO
INSTSCIE,CARINFO
INTCONF,CARINFO
INTSCIE,CARINFO
INTUSE,CARINFO
JOYSCIE,CARINFO
PERSCIE,CARINFO
PRGUSE,CARINFO
RESPDEV,CARINFO
SCAPPLY,CARINFO
SCHANDS,CARINFO
SCIEACT,CARINFO
SCIEEFF,CARINFO
SCIEFUT,CARINFO
SCINTACT,CARINFO
SCINVEST,CARINFO
SCSCIE,CARINFO
WEALTH,CARINFO
PV1READ,PVREAD
PV2READ,PVREAD
PV3READ,PVREAD
PV4READ,PVREAD
PV5READ,PVREAD
S421Q02,S421Q02
S456Q01,S456Q01
S456Q02,S456Q02
STRATUM,STRATUM
