variable,label                                                                                                      
ST38Q11,"Lesson late start Q38k"
EC01Q01,"Miss two months <ISCED 1> Q1"
EC02Q01,"Miss two months <ISCED 2> Q2"
EC03Q01,"Change while in  <ISCED 1> Q3"
EC04Q01,"Change while in  <ISCED 2> Q4"
EC05Q01,"Changed <study programme> since <Grade X> Q5"
EC06Q01,"Type <Mathematics class> Q6"
ec06q02,"Type <Mathematics class> National codes"
EC07Q01,"Mark in <Mathematics> Q7"
EC07Q02,"Pass mark in Maths Q7"
EC07Q03,"Mark in Maths in percentages"
EC08Q01,"Job at 30 Q8"
IC01Q01,"Available at home  IC1a"
IC01Q02,"Available at school  IC1b"
IC01Q03,"Available at other places  IC1c"
IC02Q01,"Used computer  IC2"
IC03Q01,"How long using computers Q3"
IC04Q01,"Use often at home  IC4a"
IC04Q02,"Use often at school  IC4b"
IC04Q03,"Use often at other places  IC4c"
IC05Q01,"How often information  IC5a"
IC05Q02,"How often games  IC5b"
IC05Q03,"How often Word  IC5c"
IC05Q04,"How often group  IC5d"
IC05Q05,"How often spreadsheets  IC5e"
IC05Q06,"How often Internet software?  IC5f"
IC05Q07,"How often graphics  IC5g"
IC05Q08,"How often educ software  IC5h"
IC05Q09,"How often learning  IC5i"
IC05Q10,"How often download music  IC5j"
IC05Q11,"How often programming  IC5k"
IC05Q12,"How often chatrooms  IC5l"
IC06Q01,"How well start game  IC6a"
IC06Q02,"How well antiviruses  IC6b"
IC06Q03,"How well open file  IC6c"
IC06Q04,"How well edit  IC6d"
IC06Q05,"How well scroll  IC6e"
IC06Q06,"How well addresses  IC6f"
IC06Q07,"How well copy  IC6g"
IC06Q08,"How well save  IC6h"
IC06Q09,"How well print  IC6i"
IC06Q10,"How well delete  IC6j"
IC06Q11,"How well move  IC6k"
IC06Q12,"How well Internet  IC6l"
IC06Q13,"How well download file  IC6m"
IC06Q14,"How well attach  IC6n"
IC06Q15,"How well program  IC6o"
IC06Q16,"How well spreadsheet plot  IC6p"
IC06Q17,"How well PowerPoint  IC6q"
IC06Q18,"How well games  IC6r"
IC06Q19,"How well download music  IC6s"
IC06Q20,"How well multimedia  IC6t"
IC06Q21,"How well draw  IC6u"
IC06Q22,"How well emails  IC6v"
IC06Q23,"How well web page  IC6w"
IC07Q01,"Feel  important  IC7a"
IC07Q02,"Feel  fun  IC7b"
IC07Q03,"Feel  interested  IC7c"
IC07Q04,"Feel  forget time  IC7d"
IC08Q01,"Learn Computer  IC8"
IC09Q01,"Learn Internet  IC9"
ISCEDL,"ISCED Level"
ISCEDD,"ISCED Designation"
ISCEDO,"ISCED Orientation"
ProgN,"Unique national programme code"
BMMJ,"ISCO code Mother"
BFMJ,"ISCO code Father"
BSMJ,"ISCO code Student"
ISO_S,"ISO code country of birth Student"
ISO_M,"ISO code country of birth Mother"
ISO_F,"ISO code country of birth Father"
LANG,"Foreign language spoken at home"
LANGN,"Language at home, national"
AGE,"Age of student"
MMINS,"Minutes of Maths per week"
TMINS,"Total minutes of instructional time p/w"
PCMATH,"Ratio of maths and total instructional time"
SC07q01,"Instructional weeks in year"
FAMSTRUC,"Family Structure"
HISEI,"Highest parental occupational status"
ST11R01,"Mother: Highest level completed at school"
ST13R01,"Father: Highest level completed at school"
MISCED,"Educational level of mother (ISCED)"
FISCED,"Educational level of father (ISCED)"
HISCED,"Highest educational level of parents"
IMMIG,"Country of birth"
GRADE,"Grade compared to modal grade in country"
SISCED,"Expected educational level of student (ISCED)"
RMHMWK,"Relative time spent on Maths homework"
MsECATEG,"Mother White collar/Blue collar classification"
FsECATEG,"Father White collar/Blue collar classification"
HsECATEG,"Highest parent White collar/Blue collar classification"
SsECATEG,"Self White collar/Blue collar classification"
ANXMAT,"Mathematics anxiety (WLE)"
ATSCHL,"Attitudes towards school (WLE)"
ATTCOMP,"ICT: Attitudes towards computers (WLE)"
BELONG,"Sense of belonging to school (WLE)"
COMPHOME,"Computer facilities at home (WLE)"
COMPLRN,"Competitive learning (WLE)"
COOPLRN,"Co-operative learning (WLE)"
CSTRAT,"Control strategies (WLE)"
CULTPOSS,"Cultural possessions of the family (WLE)"
DISCLIM,"Disciplinary climate in maths lessons (WLE)"
ELAB,"Elaboration strategies (WLE)"
HEDRES,"Home educational resources (WLE)"
HIGHCONF,"ICT: Confidence in high-level tasks (WLE)"
INSTMOT,"Instrumental motivation in mathematics (WLE)"
INTCONF,"ICT: Confidence in internet tasks (WLE)"
INTMAT,"Interest in mathematics (WLE)"
INTUSE,"ICT: Internet/entertainment use  (WLE)"
MATHEFF,"Mathematics self-efficacy (WLE)"
MEMOR,"Memorisation strategies (WLE)"
PRGUSE,"ICT: Programs/software use (WLE)"
ROUTCONF,"ICT: Confidence in routine tasks (WLE)"
SCMAT,"Mathematics self-concept (WLE)"
STUREL,"Student-teacher relations at school  (WLE)"
TEACHSUP,"Teacher support in maths lessons (WLE)"
homepos,"Index of home possessions (WLE)"
pared,"Highest parental education in years of schooling"
oecd,"OECD country indicator"
uh,"One-hour booklet indicator"
pv1math,"Plausible value in math"
pv2math,"Plausible value in math"
pv3math,"Plausible value in math"
pv4math,"Plausible value in math"
pv5math,"Plausible value in math"
pv1math1,"Plausible value in math - Space and Shape"
pv2math1,"Plausible value in math - Space and Shape"
pv3math1,"Plausible value in math - Space and Shape"
pv4math1,"Plausible value in math - Space and Shape"
pv5math1,"Plausible value in math - Space and Shape"
pv1math2,"Plausible value in math- Change and Relationships"
pv2math2,"Plausible value in math- Change and Relationships"
pv3math2,"Plausible value in math- Change and Relationships"
pv4math2,"Plausible value in math- Change and Relationships"
pv5math2,"Plausible value in math- Change and Relationships"
pv1math3,"Plausible value in math - Uncertainty"
pv2math3,"Plausible value in math - Uncertainty"
pv3math3,"Plausible value in math - Uncertainty"
pv4math3,"Plausible value in math - Uncertainty"
pv5math3,"Plausible value in math - Uncertainty"
pv1math4,"Plausible value in math - Quantity"
pv2math4,"Plausible value in math - Quantity"
pv3math4,"Plausible value in math - Quantity"
pv4math4,"Plausible value in math - Quantity"
pv5math4,"Plausible value in math - Quantity"
pv1read,"Plausible value in reading"
pv2read,"Plausible value in reading"
pv3read,"Plausible value in reading"
pv4read,"Plausible value in reading"
pv5read,"Plausible value in reading"
pv1scie,"Plausible value in science"
pv2scie,"Plausible value in science"
pv3scie,"Plausible value in science"
pv4scie,"Plausible value in science"
pv5scie,"Plausible value in science"
pv1prob,"Plausible value in problem solving"
pv2prob,"Plausible value in problem solving"
pv3prob,"Plausible value in problem solving"
pv4prob,"Plausible value in problem solving"
pv5prob,"Plausible value in problem solving"
w_fstuwt,"Student final weight"
cntfac1,"Country weight factor for equal weights (1000)"
cntfac2,"Country weight factor for normalised weights (sample size)"
w_fstr1,"BRR replicate"
w_fstr2,"BRR replicate"
w_fstr3,"BRR replicate"
w_fstr4,"BRR replicate"
w_fstr5,"BRR replicate"
w_fstr6,"BRR replicate"
w_fstr7,"BRR replicate"
w_fstr8,"BRR replicate"
w_fstr9,"BRR replicate"
w_fstr10,"BRR replicate"
w_fstr11,"BRR replicate"
w_fstr12,"BRR replicate"
w_fstr13,"BRR replicate"
w_fstr14,"BRR replicate"
w_fstr15,"BRR replicate"
w_fstr16,"BRR replicate"
w_fstr17,"BRR replicate"
w_fstr18,"BRR replicate"
w_fstr19,"BRR replicate"
w_fstr20,"BRR replicate"
w_fstr21,"BRR replicate"
w_fstr22,"BRR replicate"
w_fstr23,"BRR replicate"
w_fstr24,"BRR replicate"
w_fstr25,"BRR replicate"
w_fstr26,"BRR replicate"
w_fstr27,"BRR replicate"
w_fstr28,"BRR replicate"
w_fstr29,"BRR replicate"
w_fstr30,"BRR replicate"
w_fstr31,"BRR replicate"
w_fstr32,"BRR replicate"
w_fstr33,"BRR replicate"
w_fstr34,"BRR replicate"
w_fstr35,"BRR replicate"
w_fstr36,"BRR replicate"
w_fstr37,"BRR replicate"
w_fstr38,"BRR replicate"
w_fstr39,"BRR replicate"
w_fstr40,"BRR replicate"
w_fstr41,"BRR replicate"
w_fstr42,"BRR replicate"
w_fstr43,"BRR replicate"
w_fstr44,"BRR replicate"
w_fstr45,"BRR replicate"
w_fstr46,"BRR replicate"
w_fstr47,"BRR replicate"
w_fstr48,"BRR replicate"
w_fstr49,"BRR replicate"
w_fstr50,"BRR replicate"
w_fstr51,"BRR replicate"
w_fstr52,"BRR replicate"
w_fstr53,"BRR replicate"
w_fstr54,"BRR replicate"
w_fstr55,"BRR replicate"
w_fstr56,"BRR replicate"
w_fstr57,"BRR replicate"
w_fstr58,"BRR replicate"
w_fstr59,"BRR replicate"
w_fstr60,"BRR replicate"
w_fstr61,"BRR replicate"
w_fstr62,"BRR replicate"
w_fstr63,"BRR replicate"
w_fstr64,"BRR replicate"
w_fstr65,"BRR replicate"
w_fstr66,"BRR replicate"
w_fstr67,"BRR replicate"
w_fstr68,"BRR replicate"
w_fstr69,"BRR replicate"
w_fstr70,"BRR replicate"
w_fstr71,"BRR replicate"
w_fstr72,"BRR replicate"
w_fstr73,"BRR replicate"
w_fstr74,"BRR replicate"
w_fstr75,"BRR replicate"
w_fstr76,"BRR replicate"
w_fstr77,"BRR replicate"
w_fstr78,"BRR replicate"
w_fstr79,"BRR replicate"
w_fstr80,"BRR replicate"
wvarstrr,"RANDOMIZED FINAL VARIANCE STRATUM(1-80)"
unit,"FINAL VARIANCE UNIT(1,2,3)"
ESCS,"Index of Socio-Economic and Cultural Status"
CLCUSE3a,"How much Effort was invested-in the test"
CLCUSE3b,"How much Effort would has been invested- if masks counted by schools"
STRATUM,"Stratum"
